Lot/Serial Number,Product,Class,Status,Shift,Manufactured On,Manufactured Nett,,,,,
2602000303,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,01/02/2026 04:20:00,1.3525,,,,,
2602000327,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 07:13:00,1.3512,,,,,
2602000334,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 07:50:00,1.3501,,,,,
2602000344,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 08:42:00,1.3509,,,,,
2602000361,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 10:03:00,1.3529,,,,,
2602000363,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 10:12:00,1.3531,,,,,
2602000395,"[CT14-11] 3/4"" CRUSH TOMATOES - GOODPACKS - GOODPACK STEEL BIN (2026, Stock)","[CT14] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,01/02/2026 12:38:00,1.3535,,,,,
2602000513,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,01/02/2026 22:51:00,1.3521,,,,,
2602000529,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,02/02/2026 01:48:00,1.3525,,,,,
2602000534,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,02/02/2026 02:16:00,1.3528,,,,,
2602000536,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,02/02/2026 02:24:00,1.3516,,,,,
2602000541,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,02/02/2026 02:58:00,1.3555,,,,,
2602000549,"[CT61-11] 3/4"" CRUSHED TOMATO - NO SALT - GOODPACK STEEL BIN (2026, Stock)","[CT61] 3/4"" CRUSHED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,02/02/2026 04:18:00,1.3532,,,,,
2602000677,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,02/02/2026 18:04:00,1.3539,,,,,
2602000702,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,02/02/2026 19:54:00,1.3548,,,,,
2602000813,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,03/02/2026 04:16:00,1.3539,,,,,
2602000919,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,03/02/2026 13:20:00,1.3504,,,,,
2602000920,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,03/02/2026 13:27:00,1.3522,,,,,
2602000955,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,03/02/2026 16:31:00,1.3519,,,,,
2602000990,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,03/02/2026 19:23:00,1.3634,,,,,
2602001098,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,04/02/2026 04:06:00,1.3528,,,,,
2602001194,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,04/02/2026 12:24:00,1.3512,,,,,
2602001329,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,04/02/2026 23:49:00,1.3562,,,,,
2602001345,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Recycle)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,05/02/2026 01:09:00,1.3598,,,,,
2602001355,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,05/02/2026 01:56:00,1.3527,,,,,
2602001372,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,05/02/2026 03:59:00,1.3517,,,,,
2602001396,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 06:23:00,1.3512,,,,,
2602001398,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 06:38:00,1.3508,,,,,
2602001414,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 08:48:00,1.3508,,,,,
2602001416,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 08:58:00,1.3511,,,,,
2602001423,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 09:39:00,1.35,,,,,
2602001425,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 09:55:00,1.3509,,,,,
2602001426,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 10:04:00,1.3505,,,,,
2602001428,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,05/02/2026 10:37:00,1.35,,,,,
2602001533,"[DT34-11] 3/4"" DICED TOMATO 9 BRIX PUREE - GOODPACK STEEL BIN (2026, Stock)","[DT34] 3/4"" DICED TOMATO IN PUREE - GOODPACK",[Y] Wasted,Night,10/02/2026 23:50:00,1.3522,,,,,
2602001534,"[DT34-11] 3/4"" DICED TOMATO 9 BRIX PUREE - GOODPACK STEEL BIN (2026, Stock)","[DT34] 3/4"" DICED TOMATO IN PUREE - GOODPACK",[Y] Wasted,Night,10/02/2026 23:54:00,1.352,,,,,
2602001701,"[DT34-11] 3/4"" DICED TOMATO 9 BRIX PUREE - GOODPACK STEEL BIN (2026, Stock)","[DT34] 3/4"" DICED TOMATO IN PUREE - GOODPACK",[Y] Wasted,Afternoon,11/02/2026 15:42:00,1.3733,,,,,
2602001755,"[DT34-11] 3/4"" DICED TOMATO 9 BRIX PUREE - GOODPACK STEEL BIN (2026, Stock)","[DT34] 3/4"" DICED TOMATO IN PUREE - GOODPACK",[Y] Wasted,Afternoon,11/02/2026 19:51:00,1.3569,,,,,
2602001982,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 16:01:00,1.3519,,,,,
2602002005,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 17:54:00,1.3505,,,,,
2602002027,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 19:46:00,1.3535,,,,,
2602002044,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 21:15:00,1.3513,,,,,
2602002045,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 21:20:00,1.3524,,,,,
2602002106,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,13/02/2026 01:48:00,1.3514,,,,,
2602003060,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,16/02/2026 12:39:00,1.3536,,,,,
2602003491,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,18/02/2026 01:12:00,1.351,,,,,
2602003563,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,18/02/2026 07:23:00,1.3497,,,,,
2602003569,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,18/02/2026 07:54:00,1.3512,,,,,
2602003690,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Afternoon,18/02/2026 18:09:00,1.3519,,,,,
2602003715,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Afternoon,18/02/2026 19:55:00,1.3543,,,,,
2602003831,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,19/02/2026 07:45:00,1.3517,,,,,
2602003835,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,19/02/2026 08:05:00,1.3515,,,,,
2602004240,"[DT06-11] 1/2"" DICED - GOODPACK - GOODPACK STEEL BIN (2026, Stock)","[DT06] 1/2"" SKIN ON DICED TOMATO IN JUICE CALCIUM SALT GP",[Y] Wasted,Afternoon,20/02/2026 21:51:00,1.3535,,,,,